Company,Product,TypeName,Inches,ScreenResolution,CPU_Company,CPU_Type,CPU_Frequency (GHz),RAM (GB),Memory,GPU_Company,GPU_Type,OpSys,Weight (kg),Battery_life_hours,Price_EURO,CPU_score,GPU_score,RAM_score,PS,suitable_tasks,suitable_jobs,Description
HP,Stream 14-AX040wm,Notebook,14,1366x768,Intel,Celeron Dual Core N3060,1.6,4,32GB SSD,Intel,HD Graphics 400,Windows 10,1.44,9 ~ 10,229,660,450,4,1110.25,office_basic,teacher; student; office_admin,"Get connected with the HP Stream 14-AX040wm laptop, perfect for everyday tasks on a budget. With its compact 14-inch display and long-lasting battery life of up to 10 hours, stay productive anywhere. Ideal for students or casual users, this laptop also features a lightweight design and reliable performance from its Celeron processor."
Chuwi,"LapBook 15.6""",Notebook,15.6,Full HD 1920x1080,Intel,Atom x5-Z8300,1.44,4,64GB Flash Storage,Intel,HD Graphics,Windows 10,1.89,6 ~ 7,244.99,840,299,4,1139.25,office_basic,teacher; office_worker; student; office_admin,"Meet the Chuwi LapBook 15.6"", a versatile laptop perfect for everyday tasks, reading, and browsing. With its vibrant Full HD display and efficient Atom x5-Z8300 processor, you'll enjoy smooth performance on the go. Ideal for students, travelers, or anyone who wants a reliable companion for basic computing needs."
Asus,Vivobook E200HA,Netbook,11.6,1366x768,Intel,Atom x5-Z8350,1.44,2,32GB Flash Storage,Intel,HD Graphics 400,Windows 10,0.98,11 ~ 13,191.9,910,450,2,1360.125,office_basic,teacher; student; office_admin,"Here is a concise, friendly product description for the Asus Vivobook E200HA: Get portable productivity with the Asus Vivobook E200HA laptop! Weighing just 1.24kg, this slim and lightweight notebook is perfect for students and commuters who need to stay connected on-the-go. With up to 13 hours of battery life and a compact 11.6-inch display, you can work or study anywhere."
Lenovo,Yoga Book,2 in 1 Convertible,10.1,IPS Panel Touchscreen 1920x1200,Intel,Atom x5-Z8550,1.44,4,64GB Flash Storage,Intel,HD Graphics 400,Android,0.69,8 ~ 10,319,1179,450,4,1629.25,office_basic,teacher; student; office_admin,"The Lenovo Yoga Book is a versatile and portable laptop perfect for everyday use. With its 10.1"" touchscreen display, you can easily navigate and create content on the go. Suitable for students and professionals who need a reliable device for basic tasks like word processing, browsing, and streaming."
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce),Notebook,17.3,1366x768,Intel,Pentium Quad Core N4200,1.1,4,1TB HDD,Nvidia,GeForce 920MX,Windows 10,2.8,3 ~ 4,466,724,1069,4,1793.25,"office_basic,office_admin, gaming_light",office_worker; student,"The Asus X751NV-TY001T laptop is a reliable choice for everyday use, featuring a spacious 17.3"" display perfect for multitasking. Powered by the Pentium Quad Core N4200 processor, it handles general tasks efficiently. The combination of a 1TB hard drive and dedicated GeForce 920MX graphics ensures smooth performance for basic gaming and multimedia needs."
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,256GB SSD,AMD,Radeon 530,Windows 10,2.2,4 ~ 5,800,833,1030,8,1863.5,office_basic;coding_basic;figma;gaming_light,office_admin;software_engineer;student_cs,"Here is a concise, friendly product description for the Dell Inspiron 5570: ""Get the perfect blend of performance and portability with the Dell Inspiron 5570 laptop. Featuring an 8th Gen Core i5 processor, 8GB of RAM, and a Radeon 530 GPU, this laptop delivers smooth multitasking and graphics. Ideal for students, professionals, and anyone looking for a reliable everyday laptop."""
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2,4,256GB SSD,AMD,Radeon R5 M430,Windows 10,2.2,2 ~ 3,498.9,1356,648,4,2004.25,office_basic,office_admin,"Here is a concise, friendly product description for the Dell Inspiron 3567: The Dell Inspiron 3567 is perfect for everyday tasks like browsing, emailing and streaming. With its vibrant 15.6"" Full HD display and powerful Core i3 processor, you'll enjoy smooth performance and great visuals. Ideal for students or anyone who needs a reliable laptop for basic computing tasks."
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2,4,256GB SSD,AMD,Radeon R5 M430,Linux,2.2,4 ~ 5,485,1356,648,4,2004.25,office_basic,office_admin,"Here is a concise product description for the Dell Inspiron 3567: The Dell Inspiron 3567 is an affordable laptop perfect for everyday tasks like browsing, emailing, and streaming. With its vibrant 15.6"" Full HD display and powerful Core i3 processor, you'll enjoy smooth performance on any task. Ideal for students, professionals, and anyone who wants a reliable laptop that won't break the bank."
Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel,Core i5,1.6,8,128GB Flash Storage,Intel,HD Graphics 6000,Mac OS X,1.35,11 ~ 12,1099,1340,849,8,2189.5,office_basic;coding_basic;figma,office_admin;software_engineer;student_cs;teacher,"Here is a concise, friendly product description for the Apple MacBook Air: ""Get portable productivity with the Apple MacBook Air. This lightweight laptop features a vibrant 13.3"" display, powerful Core i5 processor, and ample 8GB of RAM to handle everyday tasks. Perfect for students, professionals on-the-go, and anyone who needs a reliable companion. Enjoy up to 12 hours of battery life."""
HP,250 G6,Notebook,15.6,1366x768,Intel,Core i3 6006U,2,4,500GB HDD,AMD,Radeon 520,Windows 10,1.86,6 ~ 7,438.69,1477,787,4,2264.25,office_basic; gaming_light,office_admin,"Meet the HP 250 G6, a reliable and affordable laptop perfect for everyday use. Equipped with a 15.6"" HD display, Intel Core i3 processor, and Radeon 520 graphics, this laptop handles browsing, office work, and streaming with ease. With 4GB of RAM and 500GB storage, you'll have plenty of space to store files and documents. Ideal for students, professionals, or anyone on a budget, the HP 250 G6 offers up to 7 hours of battery life for all-day productivity."
Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 7100U,2.4,6,256GB SSD,Nvidia,GeForce 920M,Windows 10,2,4 ~ 5,577,1569,717,6,2286.375,office_basic;gaming_light,office_admin,"Meet the Asus X541UV, a reliable laptop for everyday use. Powered by an Intel Core i3 processor, it delivers smooth performance for tasks like browsing, office work, and streaming. With 6GB of RAM and a 256GB SSD, you'll enjoy fast loading times and efficient storage. Ideal for students, home users, or anyone looking for a hassle-free laptop experience."
HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2,4,500GB HDD,Intel,HD Graphics 520,No OS,1.86,6 ~ 7,344.99,1477,831,4,2308.25,office_basic,office_admin,"The HP 250 G6 is a reliable and affordable laptop perfect for everyday tasks. Its 15.6"" Full HD display provides clear visuals, while the Core i3 processor delivers smooth performance. Ideal for students and professionals on a budget, this laptop also features around 6-7 hours of battery life."
Acer,Aspire E5-475,Notebook,14,1366x768,Intel,Core i3 6006U,2,8,1TB HDD,Intel,HD Graphics 520,Windows 10,2.1,1.5 ~ 2,389,1566,831,8,2397.5,office_basic;coding_basic;figma,office_admin;software_engineer;student_cs,"The Acer Aspire E5-475 is a reliable laptop perfect for everyday tasks. With an Intel Core i3 processor, 8GB of RAM, and 1TB of storage, you'll have plenty of space to work, study, or browse the web. Its compact 14-inch display makes it ideal for students, freelancers, or anyone who needs a portable computer for basic computing."
Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i5 8250U,1.6,8,128GB SSD,Intel,UHD Graphics 620,Windows 10,1.22,9 ~ 10,979,1618,1030,8,2648.5,office_basic;coding_basic;figma,office_admin;software_engineer;student_cs;teacher,"The Dell XPS 13 is a slim and powerful laptop perfect for everyday use. With its stunning 13.3"" Full HD touchscreen display, you'll enjoy crisp visuals and intuitive navigation. Equipped with an Intel Core i5 processor, 8GB of RAM, and fast SSD storage, this laptop excels at multitasking and running demanding apps. Ideal for students and professionals on-the-go."
Acer,Aspire 3,Notebook,15.6,1366x768,Intel,Core i3 7100U,2.4,4,1TB HDD,Intel,HD Graphics 620,Windows 10,2.4,5 ~ 6,384,1783,935,4,2718.25,office_basic,office_admin,"Here is a concise and friendly product description for the Acer Aspire 3 laptop: The Acer Aspire 3 is a reliable and affordable laptop perfect for everyday use. With its 15.6"" display, you can enjoy your favorite movies and shows in comfort. Powered by an Intel Core i3 processor and 4GB of RAM, it handles tasks like browsing, emailing, and word processing with ease."
Apple,Macbook Air,Ultrabook,13.3,1440x900,Intel,Core i5,1.8,8,128GB Flash Storage,Intel,HD Graphics 6000,macOS,1.34,10 ~ 12,898.94,1876,849,8,2725.5,office_basic;coding_basic;figma,office_admin;software_engineer;student_cs;teacher,"The Apple MacBook Air is a lightweight laptop perfect for everyday use. With its 13.3"" display, Core i5 processor, and 8GB of RAM, it's ideal for students, professionals, and anyone who wants to stay productive on the go. Enjoy up to 12 hours of battery life with this sleek and portable device."
Apple,Macbook Air,Ultrabook,13.3,1440x900,Intel,Core i5,1.8,8,256GB Flash Storage,Intel,HD Graphics 6000,macOS,1.34,10 ~ 12,1158.7,1876,849,8,2725.5,office_basic,office_admin;teacher,"The Apple MacBook Air is the perfect portable companion for anyone on-the-go. With a crisp 13.3"" display, powerful Core i5 processor, and up to 10 hours of battery life, you can stay productive anywhere. Ideal for students, professionals, and creatives who need a reliable and lightweight laptop for work or play."
Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel,Core i5,1.6,8,256GB Flash Storage,Intel,HD Graphics 6000,Mac OS X,1.35,10 ~ 12,998,1876,849,8,2725.5,office_basic,office_admin;teacher,"Here is a concise and friendly product description for the Apple MacBook Air: ""Get creative, stay productive with the lightweight and versatile Apple MacBook Air. This powerful laptop features an impressive 13.3-inch display, reliable Core i5 processor, and up to 12 hours of battery life - perfect for students, freelancers, or anyone on-the-go! With ample storage and seamless performance, you can tackle tasks and projects with ease."""
Asus,Zenbook UX430UA,Ultrabook,14,Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,256GB SSD,Intel,HD Graphics 620,Windows 10,1.25,8 ~ 9,1049,1826,935,8,2761.5,office_basic;coding_basic;figma,office_admin;software_engineer;student_cs;teacher,"Here is a concise, friendly product description for the Asus Zenbook UX430UA: Get productive on-the-go with the Asus Zenbook UX430UA, featuring an ultra-portable 14"" Full HD display and powerful Intel Core i7 processor. With 8GB of RAM and a fast 256GB SSD, this laptop is perfect for students, professionals, and anyone who needs to stay connected anywhere. Enjoy all-day battery life up to 9 hours and seamless multitasking."
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5,4,256GB SSD,AMD,Radeon R5 M430,Windows 10,2.3,1.5 ~ 3,639,2155,648,4,2803.25,office_basic,office_admin,"Here is a concise, friendly product description for the Dell Inspiron 3567: ""Get productive on the go with the reliable Dell Inspiron 3567 laptop. Equipped with a powerful Core i5 processor, 4GB of RAM, and 256GB SSD storage, this laptop handles everyday tasks with ease. Perfect for students, freelancers, or anyone looking for a solid work companion."""
HP,250 G6,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,4,500GB HDD,Intel,HD Graphics 620,No OS,1.86,2 ~ 4,393.9,2030,935,4,2965.25,office_basic,office_admin,"The HP 250 G6 laptop is perfect for everyday tasks, offering a reliable performance with its Core i5 processor and 4GB of RAM. The 15.6"" display makes it easy to get work done on the go, while the 500GB hard drive provides ample storage. Ideal for students, professionals, or anyone who needs a dependable laptop for basic computing tasks."
HP,250 G6,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,4,1TB HDD,Intel,HD Graphics 620,Windows 10,1.86,2 ~ 4,488.69,2030,935,4,2965.25,office_basic,office_admin,"The HP 250 G6 is a reliable laptop designed for everyday use. With its powerful Core i5 processor, 1TB hard drive, and decent battery life of up to 4 hours, it's perfect for students or professionals who need to stay productive on the go. Suitable for office work, streaming, and browsing."
HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,256GB SSD,Intel,HD Graphics 620,No OS,1.86,3 ~ 6,575,2030,935,8,2965.5,office_basic;coding_basic;figma,office_admin;software_engineer;student_cs,"The HP 250 G6 is a reliable and efficient laptop perfect for everyday use. Equipped with an Intel Core i5 processor, 8GB of RAM, and a 256GB SSD, this laptop delivers smooth performance for work and entertainment. Its 15.6"" Full HD display makes streaming and browsing a delight."
HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,256GB SSD,Intel,HD Graphics 620,Windows 10,1.86,3 ~ 6,690,2030,935,8,2965.5,office_basic,office_admin,"Here is a concise, friendly product description for the HP 250 G6 laptop: Meet the reliable HP 250 G6, perfect for everyday tasks like browsing, office work, and streaming. With its 15.6"" Full HD display and Core i5 processor, you'll enjoy smooth performance and vibrant visuals. Ideal for students, professionals, or anyone who needs a hassle-free laptop that just gets the job done."
HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,256GB SSD,Intel,HD Graphics 620,Windows 10,1.96,3 ~ 6,598.99,2030,935,8,2965.5,office_basic;coding_basic;figma,office_admin;software_engineer;student_cs,"The HP 250 G6 is a reliable and efficient laptop perfect for everyday tasks. Equipped with an Intel Core i5 processor, 8GB of RAM, and a 256GB SSD, it provides smooth performance for multitasking and running demanding applications. The Full HD display and long battery life make it ideal for students, professionals, and anyone seeking a balance between portability and productivity."
Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel,Core i3 6006U,2,4,1TB HDD,Intel,HD Graphics 520,Windows 10,2.3,2 ~ 3,418.64,2155,831,4,2986.25,office_basic,office_admin,"Meet the Dell Inspiron 3567, a reliable laptop perfect for everyday use! With its 15.6"" display, you can stream your favorite shows or browse the web with ease. The Core i3 processor and 4GB of RAM provide smooth performance for tasks like office work and social media. Ideal for students and home users who want a hassle-free computing experience."
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,256GB SSD,AMD,Radeon R5 M430,Windows 10,2.2,2.5 ~ 4,745,2390,648,8,3038.5,office_basic;coding_basic;figma,office_admin;software_engineer;student_cs,"The Dell Inspiron 3567 is a reliable laptop perfect for everyday tasks, featuring an Intel Core i7 processor for smooth performance, an 8GB RAM to handle multiple apps, and a 256GB SSD for quick loading times. Enjoy crisp visuals on the 15.6"" Full HD display. Ideal for students, professionals, and anyone who needs a balance of power and portability."
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7500U,2.7,8,1TB HDD,AMD,Radeon R5 M430,Linux,2.2,2 ~ 3.5,599.9,2390,648,8,3038.5,office_basic,office_admin,"The Dell Inspiron 3567 is a powerful laptop designed for everyday use. Its 15.6"" Full HD display provides crisp visuals, while the Core i7 processor handles demanding tasks with ease. Ideal for students or professionals who need to balance work and play, this laptop offers ample storage and reliable performance."
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel,Core i3 6006U,2,4,128GB SSD,Intel,HD Graphics 520,No OS,2.2,3.5 ~ 5,369,2284,831,4,3115.25,office_basic;multitask;coding_basic;figma;photoshop;data_science,data_scientist;graphic_designer;office_admin;software_engineer;student_cs;uiux_designer,"The Lenovo IdeaPad 320-15ISK is a reliable laptop for everyday use. With its Intel Core i3 processor, it handles tasks efficiently while being affordable. The 128GB SSD provides snappy performance, making it suitable for students or anyone needing basic productivity and web browsing capabilities. Ideal for casual users who want a hassle-free computing experience."
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2,4,128GB SSD,Intel,HD Graphics 520,Windows 10,1.91,3 ~ 4,439,2284,831,4,3115.25,office_basic,office_admin,"Here is a concise, friendly product description for the HP 15-bs002nv laptop: ""Get productive on the go with this slim and lightweight HP 15-bs002nv laptop. Powered by an Intel Core i3 processor, it's perfect for everyday tasks like browsing, emailing, and streaming. The Full HD display and long-lasting battery (up to 4 hours) make it ideal for students or professionals who need a reliable work companion."""
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2,4,256GB SSD,Intel,HD Graphics 520,Linux,2,4 ~ 5.5,415,2284,831,4,3115.25,office_basic; gaming_light,office-admin,"The Asus X541UA-DM1897 is a reliable laptop perfect for everyday tasks and basic productivity. Equipped with an Intel Core i3 processor, 256GB SSD, and Full HD display, it delivers smooth performance and efficient storage. Ideal for students and professionals who need a hassle-free computing experience, this laptop offers around 4-5.5 hours of battery life."
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,Full HD 1920x1080,AMD,A6-Series 9220,2.5,4,500GB HDD,AMD,Radeon 530,Windows 10,2.71,2 ~ 3,439,2100,1030,4,3130.25,office_basic; gaming_light,office_admin,"Meet the HP 17-ak001nv, a great value laptop for everyday tasks! With its 17.3"" Full HD display, you can enjoy crisp visuals and vibrant colors. Perfect for students, home users, or those on a budget, this laptop packs a punch with its A6-Series CPU, Radeon GPU, and ample storage."
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2,4,1TB HDD,Intel,HD Graphics 620,Linux,2,2.5 ~ 3.5,389,2284,935,4,3219.25,office_basic,office_admin,"The Asus X540UA-DM186 is a reliable laptop for everyday tasks, featuring a 15.6"" Full HD display and powerful Core i3 processor. With 4GB of RAM and 1TB of storage, it's perfect for students and professionals who need a balance of performance and affordability. Ideal for web browsing, office work, and streaming media on the go."
Dell,Vostro 5471,Ultrabook,14,Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,256GB SSD,Intel,UHD Graphics 620,Windows 10,1.7,6 ~ 8,879,2227,1030,8,3257.5,office_basic;coding_basic;figma,office_admin;software_engineer;student_cs,"The Dell Vostro 5471 is a versatile laptop perfect for everyday use. Equipped with an Intel Core i5 processor, 8GB of RAM, and a 256GB SSD, it offers fast performance and efficient storage. Its Full HD display and UHD Graphics 620 make it ideal for casual gaming and streaming. Ideal for students, entrepreneurs, or anyone who wants a reliable laptop for work and play."
Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,Intel,Core i5 7200U,2.5,4,128GB SSD,Intel,HD Graphics 620,Windows 10 S,1.252,7  ~ 9,1089,2340,935,4,3275.25,office_basic;multitask;coding_heavy;figma;photoshop;data_science,data_scientist;graphic_designer;office_admin;software_engineer;student_cs;teacher;uiux_designer,"Meet the Microsoft Surface Laptop, a sleek and powerful companion for on-the-go creatives and professionals. Featuring a vibrant 13.5"" touchscreen display and efficient Core i5 processor, this laptop is perfect for those who need to stay productive and connected all day long. With around 7-9 hours of battery life and 128GB of storage, you can take your work or studies wherever you go."
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,256GB SSD,AMD,Radeon 530,Windows 10,2.2,4 ~ 5,870,2349,1030,8,3379.5,office_basic;coding_basic;figma;gaming_light,office_admin;software_engineer;student_cs,"The Dell Inspiron 5570 is a powerful laptop for work and play. Equipped with an 8th Gen Intel Core i7 processor, 8GB of RAM, and a Radeon 530 graphics card, it handles demanding tasks with ease. The 15.6"" Full HD display and 256GB SSD provide a smooth user experience. Ideal for students, professionals, and anyone looking for a reliable laptop that balances performance and portability."
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,128GB SSD +  1TB HDD,Intel,UHD Graphics 620,Windows 10,2.02,4 ~ 5,855,2349,1030,8,3379.5,office_basic,office_admin,"Meet the Dell Inspiron 5570, a reliable laptop for everyday tasks. With its 15.6"" Full HD display and powerful Core i7 processor, you can enjoy smooth performance and vibrant visuals. Ideal for students, professionals, and anyone who needs a balance of power and portability, this laptop is perfect for browsing, working, and streaming on the go."
HP,ProBook 440,Notebook,14,Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,256GB SSD,Intel,HD Graphics 620,Windows 10,1.63,7 ~ 14,860,2690,935,8,3625.5,office_basic;coding_basic;figma,office_admin;software_engineer;student_cs,"The HP ProBook 440 is a reliable laptop designed for professionals who need to stay productive on-the-go. Equipped with an Intel Core i5 processor, 8GB of RAM, and a 256GB SSD, it delivers fast performance and efficient multitasking. Its Full HD display provides clear visuals for presentations and everyday use, while the long-lasting battery ensures up to 14 hours of runtime."
Acer,Swift 3,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,256GB SSD,Intel,UHD Graphics 620,Windows 10,1.6,11 ~ 14,770,2812,1030,8,3842.5,office_basic;coding_basic;figma,office_admin;software_engineer;student_cs;teacher,"The Acer Swift 3 is a portable powerhouse perfect for students, professionals, and anyone on-the-go. Featuring an impressive Full HD display, 8GB of RAM, and a snappy 256GB SSD, this laptop delivers smooth performance and ample storage. With up to 14 hours of battery life, you can work or study all day without needing a charge."
Dell,Inspiron 5770,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,128GB SSD +  1TB HDD,AMD,Radeon 530,Windows 10,2.8,5 ~ 7,979,2923,1030,8,3953.5,office_basic;coding_basic;figma;gaming_light,office_admin;software_engineer;student_cs,"Here is a concise, friendly product description for the Dell Inspiron 5770: Get the perfect blend of performance and portability with the Dell Inspiron 5770 laptop. This powerful machine features an Intel Core i5 processor, 8GB of RAM, and a dedicated Radeon 530 GPU to handle demanding tasks. The 17.3"" Full HD display makes streaming and productivity a joy. Ideal for students, professionals, and anyone on-the-go, this laptop delivers all-day battery life (up to 7 hours)."
Lenovo,IdeaPad 520S-14IKB,Notebook,14,IPS Panel Full HD 1920x1080,Intel,Core i3 7130U,2.7,8,256GB SSD,Intel,HD Graphics 620,No OS,1.7,6 ~ 8,599,3050,935,8,3985.5,office_basic;coding_basic;figma,office_admin;software_engineer;student_cs,"The Lenovo IdeaPad 520S-14IKB is a sleek and portable laptop perfect for everyday use. With its 14-inch Full HD display, you'll enjoy crisp visuals on the go. Powered by an Intel Core i3 processor and 8GB of RAM, it handles tasks with ease."
Dell,Inspiron 5379,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel,Core i5 8250U,1.6,8,256GB SSD,Intel,UHD Graphics 620,Windows 10,1.62,5 ~ 7,819,3145,1030,8,4175.5,office_basic;coding_basic;figma,office_admin;software_engineer;student_cs,"Here is a concise, friendly product description for the Dell Inspiron 5379: ""Get productive on-the-go with the Dell Inspiron 5379. This compact laptop packs a powerful Core i5 processor, 8GB of RAM, and a fast 256GB SSD, making it perfect for everyday tasks like work, school, or creative projects. Enjoy crisp visuals on the 13.3-inch Full HD touchscreen display."""
Dell,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,256GB SSD,AMD,Radeon 520,Windows 10,2.13,4 ~ 6,767.8,3408,787,8,4195.5,office_basic;coding_basic;figma;gaming_light,office_admin;software_engineer;student_cs,"Meet the Dell Inspiron 3576, a powerful and portable laptop perfect for students, professionals, and anyone who wants to stay productive on-the-go! With its 15.6"" Full HD display and Core i7 processor, you'll enjoy smooth performance and stunning visuals. Ideal for multitaskers, this laptop combines 8GB of RAM, a Radeon 520 GPU, and 256GB SSD storage for seamless gaming and data storage."
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 7100U,2.4,8,1TB HDD,Nvidia,GeForce 940MX,No OS,2.2,5 ~ 7,499,2720,1512,8,4232.5,office_basic;coding_basic;figma;gaming_light,office_admin;software_engineer;student_cs,"Here is a concise, friendly product description: The Lenovo IdeaPad 320-15IKB is perfect for students and professionals on-the-go who need a reliable laptop that gets the job done. With its 15.6"" Full HD display, 8GB of RAM, and dedicated GeForce 940MX graphics card, you can enjoy seamless performance and crisp visuals. Plus, with up to 7 hours of battery life, you'll stay productive all day long."
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5,8,2TB HDD,Intel,HD Graphics 620,No OS,2.2,6 ~ 8,519,3369,935,8,4304.5,office_basic;coding_basic;figma,office_admin;software_engineer;student_cs,"Here is a concise, friendly product description: Get productive with the Lenovo IdeaPad 320-15IKBN, a reliable laptop designed for everyday use. With an 15.6"" Full HD display and Core i5 processor, you can multitask with ease. Enjoy 8GB of RAM and a spacious 2TB hard drive - perfect for students, professionals, and anyone needing a reliable device for work or school projects."
Asus,VivoBook Max,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,4,256GB SSD,Intel,HD Graphics 620,Windows 10,2,3 ~ 4,586.19,3400,935,4,4335.25,office_basic;multitask;coding_heavy;figma;photoshop;data_science,data_scientist;graphic_designer;office_admin;software_engineer;student_cs;uiux_designer,"Here is a concise, friendly product description for the Asus VivoBook Max: ""Get productive on-the-go with the Asus VivoBook Max laptop. Featuring a powerful Core i5 processor and fast 256GB SSD storage, this versatile laptop is perfect for students and professionals who need to stay organized and connected. With up to 4 hours of battery life, you can work or study without worrying about running out of power."""
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5,4,1TB HDD,Intel,HD Graphics 620,Windows 10,1.9,2.5 ~ 3.5,549,3400,935,4,4335.25,office_basic,office_admin,"Here is a concise, friendly product description for the Lenovo V310-15ISK: Experience reliable performance with the Lenovo V310-15ISK laptop, featuring a 7th Gen Intel Core i5 processor and 4GB of RAM to handle everyday tasks efficiently. The 15.6"" Full HD display provides crisp visuals, while the 1TB hard drive offers ample storage for your files. Ideal for students and professionals on-the-go, this laptop delivers solid value without breaking the bank."
